OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,SHAPE_Length,SHAPE_Area
23651,13,Morrow Rd,Wildfire Daily Fire Perimeter,Mixed Methods,58.9,2024/01/03 17:39:21+00,2024/01/12 19:13:21+00,,{A9D306EB-33F5-43F2-BBE3-D9F82A14E117},,58.9055069989436,{02E4FF5F-A140-45A2-8270-5029BFA233C3},2024 NIFS,28070535,,DEFAULT,,2024/01/03 02:00:00+00,2024/01/07 02:00:00+00,wildcade,59,1,NCNCC,,,,,,,,,,Human,,,QS91,,2024/01/02 19:01:38+00,,2024/01/09 02:00:00+00,,,,,P8,0811,SACC,,,,,,MORROW RD,,WF,FI,35.179033,-84.251133,,,{A9D306EB-33F5-43F2-BBE3-D9F82A14E117},,0,,,,,,240019,wildcade,,,,Cherokee,NCNCC,37039,USFS,NCNCF,,USFS,Federal,,,,,,,SA31A,USFS,NCNCF,US-NC,,,,,,2024-NCNCF-240019,,No Decision,,,,2024/01/02 19:54:40+00,2024/01/12 13:47:38+00,IRWIN,0,,,{FF2C85E0-0A75-451B-9E21-327E19677637},{9FAC3AAC-2565-4032-A719-3AB1517D3B35},0.0276511467534362,-2.35892658898537e-05
23656,14,RX DFG-Frances Crane WMA South-FCS X F G L,Prescribed Fire,Hand Sketch,38.21,2024/01/08 16:53:03+00,2024/01/08 16:53:03+00,2024/01/05 18:15:00+00,{09D9109E-B00C-4A34-915F-FD40FEB4EC59},,38.2123291046094,{38D55AF9-516C-4E34-BCCA-0D2E7DE4D429},2024 NIFS,28071269,,DEFAULT,,,,INFORM_Inspector,38,38,NHNEC,,,,,,,,,,,,,,,2024/01/05 17:05:46+00,,,,,,,,,EACC,,,,,,RX DFG-Frances Crane WMA South-FCS X F G L,,RX,FI,,,,,{09D9109E-B00C-4A34-915F-FD40FEB4EC59},,0,0,,,,,DFG-RX01,INFORM_Inspector,,,,Barnstable,NHNEC,25001,FFC,MAMAS,,State,Other,,,,,,,EA23,FFC,MAMAS,US-MA,,,,,,2024-MAMAS-DFG-RX01,,No Decision,,,,2024/01/08 16:50:13+00,2024/01/08 16:50:13+00,IRWIN,0,,,{C2107A80-EDAD-41C0-858B-E04C3FC2AE1B},{3D287E8B-8021-4FE9-8370-033CABB0E183},0.0256889359397665,-1.67057137504398e-05
23768,18,COUNTY RD 251 & COUNTY RD 248,Wildfire Daily Fire Perimeter,Image Interpretation,64.41,2024/01/12 19:04:07+00,2024/01/12 19:08:57+00,2024/01/12 19:04:05+00,{6B2B9262-1890-469F-9808-DDEC9B951DD4},,114.407976623785,{F7DFE1FE-F5A7-4BEE-8E8B-1D748416E461},2024 NIFS,28070722,,DEFAULT,,,,ics209,100,,ALAIC,465.8,,,,,Minimal,,,,Undetermined,,,,,2024/01/02 18:09:00+00,Type 3 Incident,,0,100,0,0,,,SACC,2024/01/29 21:22:19+00,2024/01/02 18:30:00+00,2024/01/02 20:15:00+00,F,Type 3 Team,COUNTY RD 251 & COUNTY RD 248,"CTY RD 251/CTY RD 248 // 31.440, -85.974",WF,FI,,,,,{6B2B9262-1890-469F-9808-DDEC9B951DD4},,0,,,,,0,20240102-2,ics209,100,100,NEW BROCKTON,Coffee,ALAIC,01031,,,,Private,Private,,,,,,,SA39,FC,ALALS,US-AL,,,Brush (2 feet),,,2024-ALALS-20240102-2,,No Decision,,,,2024/01/03 16:59:52+00,2024/01/29 21:22:20+00,IRWIN,0,,,{72B7C506-01AF-43F8-8077-23569127D76C},{7DE6E203-2D18-4552-8C14-B58416BE8700},0.042682226228787,-4.39257327499435e-05
23773,21,TL 644 Tree Two,Wildfire Daily Fire Perimeter,GPS-Walked,2.94,2024/01/14 00:14:30+00,2024/01/26 13:29:20+00,2024/01/14 00:14:29+00,{03A63223-A540-4CA1-9FE9-8F185AA37098},,2.93970647162367,{59900576-5B46-4CF1-9D00-5A734AFBA0AB},2024 NIFS,28071723,EK2T,DEFAULT,,2024/01/19 06:00:00+00,2024/01/25 19:00:00+00,wildcade,2.94,2,ALAIC,,,,,,,,,,Human,,,,,2024/01/13 18:02:00+00,,2024/01/26 15:13:00+00,,,,,P8,0801,SACC,,,,,,TL 644 Tree Two,,WF,FI,33.518417,-85.885867,,,{03A63223-A540-4CA1-9FE9-8F185AA37098},,0,1,,,,,240012,wildcade,,,,Talladega,ALAIC,01121,,,,Private,Private,,,,,,,SA38,FC,ALALS,US-AL,,,,,,2024-ALALS-240012,,No Decision,,,,2024/01/13 18:23:40+00,2024/01/26 15:18:31+00,IRWIN,0,,,{E8FC8105-766E-4C56-BB0A-C6BA5165C5B6},{0C42323F-8F49-4C0D-9791-4651652F9925},0.00884524722990359,-1.15454999997635e-06
23802,19921,KAHILI 2024a FIRE,Wildfire Final Fire Perimeter,Hand Sketch,0.05,2024/01/18 01:50:09+00,2024/01/18 01:50:09+00,2024/01/18 01:50:09+00,{B34EB425-8318-47A7-9B88-A3AB397F5E0A},{15269D99-CEBC-49B5-B7E2-FAD149E1F0A2},0.051792086389137,,FFP,3679468,,CERTIFIED,0.06,2024/01/17 00:00:00+00,2024/01/17 00:00:00+00,wildcade,0.1,,CAMNFC,,,,,2024/01/18 01:50:05+00,,,,,Undetermined,,,QTM3,53000,2024/01/16 04:00:00+00,,2024/01/18 00:00:00+00,,,,,,,ONCC,,,,,,KAHILI 2024a FIRE,,WF,FI,22.219731,-159.38692,,2024/01/16 04:15:00+00,{B34EB425-8318-47A7-9B88-A3AB397F5E0A},1,0,,,,1,,000040,firecode,,,,Kauai,CAMNFC,15007,FWS,HIKIR,,USFWS,Federal,,,,,,,None,FWS,HIKIR,US-HI,Timber,TU3,,,,2024-HIKIR-000040,{15269D99-CEBC-49B5-B7E2-FAD149E1F0A2},No Decision,,,,2024/01/17 17:50:05+00,2024/01/17 17:55:02+00,FODR,0,,,{0449C3B8-294A-4CA3-8538-9185FBFADB35},{585688EF-BB31-490E-8B58-70D4561A574C},0.00054210879777326,-1.83584365488484e-08
23812,43,Seegmiller,Wildfire Daily Fire Perimeter,Mixed Methods,17.8381936465541,2024/01/19 19:27:11+00,2024/01/19 19:28:24+00,2024/01/18 22:30:00+00,{D888D38B-5C7A-4426-A49E-8C8B65A026D5},,17.8381208849465,{562D4F8B-3561-47DB-BC48-0F4EF1B2A0EC},2024 NIFS,28072077,,DEFAULT,,2024/01/18 22:30:00+00,2024/01/19 20:49:00+00,wildcade,18,10,UTRFC,,,,,,,,,,Human,,,QTP5,,2024/01/18 21:05:00+00,,2024/01/22 17:00:00+00,,,,,PN,1522,GBCC,,,,,,Seegmiller,,WF,FI,38.7633,-111.989,,,{D888D38B-5C7A-4426-A49E-8C8B65A026D5},,0,1,,,,,240008,wildcade,,,,Sevier,UTRFC,49041,,,,Private,Private,,,,,,,GB28,DFF,UTSCS,US-UT,,,,,,2024-UTSCS-240008,,No Decision,,,,2024/01/18 21:46:59+00,2024/01/29 18:39:01+00,IRWIN,0,,,{615F9F1C-CE73-4DFC-A1F2-9FCFA1368EF3},{6673B388-207C-4FB3-8E1E-83E7D91F55F4},0.0155475789861387,-7.48000715451397e-06
23830,19962,TX-RGR-Hidalgo Bend,Wildfire Final Fire Perimeter,Hand Sketch,6.05,2024/01/23 21:33:30+00,2024/01/23 21:33:30+00,2024/01/23 21:33:30+00,{8B97692D-A1F1-4C7F-ABC9-8DB6AF9D3EC3},{436CD559-D146-480D-AA4B-803EF23540CD},6.05465779174071,,FFP,3691008,,CERTIFIED,12.12,2024/01/12 14:00:00+00,2024/01/20 14:00:00+00,INFORM_Inspector,6.1,,TXTIC,,,,,2024/01/23 21:33:28+00,,,,,,,,QTJ1,,2024/01/09 19:27:57+00,,2024/01/21 14:00:00+00,,,,,,,SACC,,,,,,TX-RGR-Hidalgo Bend,,WF,FI,,,,2024/01/09 19:30:00+00,,0,,0,,,0,,TX-RGR,firecode,,,,Hidalgo,TXTIC,48215,,USFWS,,USFWS,Federal,,,,,,,,FWS,TXRGR,US-TX,Grass-Shrub,GS3,,,,2024-TXRGR-TX-RGR,{436CD559-D146-480D-AA4B-803EF23540CD},,,,,2024/01/11 21:40:36+00,2024/01/11 21:40:37+00,FODR,,,,{1E7CBE8A-3297-44C0-BF37-61719A00B388},{C089B751-3A67-407C-A917-50DDB889770B},0.0115355760975569,-2.21063301888078e-06
23849,67,GAUTIER UNIT 10,Wildfire Daily Fire Perimeter,Hand Sketch,191.61,2024/01/26 20:30:39+00,2024/01/26 20:30:39+00,2024/01/24 01:00:00+00,{A5D1F00A-24D4-49C4-8EC6-27AE56232324},,191.604834705197,{B3335FC2-80E3-43B7-BEDE-BCF178F73C05},2024 NIFS,28072177,,DEFAULT,5.294,2024/01/24 01:00:00+00,2024/01/26 17:00:00+00,firecode,191,,MSMSRC,25000,,,,,Minimal,,Torching,,Undetermined,,,QTQ7,,2024/01/19 20:45:00+00,Type 4 Incident,2024/01/26 17:00:00+00,0,100,0,0,,,SACC,2024/01/24 17:53:26+00,2024/01/23 14:00:00+00,2024/01/24 01:00:00+00,F,Type 4 IC,GAUTIER UNIT 10,"North of I-10 at exit 61 on the Misssissippi Sandhill Crane NWR,Gautier MS",WF,FI,,,,,{A5D1F00A-24D4-49C4-8EC6-27AE56232324},,0,0,0,0,0,0,024001,wfdss,100,100,Gautier,Jackson,MSMIC,28059,FWS,MSMSR,,USFWS,Federal,,,,,,,SA21B,FWS,MSMSR,US-MS,,,Southern Rough,,2,2024-MSMSR-024001,,No Decision,,,,2024/01/20 02:41:32+00,2024/01/26 18:18:30+00,IRWIN,0,,,{A582960B-34E3-4BC5-84D6-89728706EBD7},{DD3A7DE7-71AF-4F19-BE9E-B76AA83ED720},0.0406741336800319,-7.28154179699395e-05
23850,69,Dry Prong,Wildfire Daily Fire Perimeter,Hand Sketch,847.1,2024/01/27 19:52:31+00,2024/01/27 19:57:01+00,2024/01/24 20:15:00+00,{85539F46-2660-4969-97CA-1C8050BA79D2},,676.829147695195,{FB57E803-F14A-4AB0-A0AF-3FEE7FD5450B},2024 NIFS,28072278,,DEFAULT,,,2024/01/24 20:15:00+00,wildcade,544,150,MSMIC,,,,,,,,,,Human,,,,,2024/01/21 23:36:30+00,,2024/02/03 23:30:00+00,,,,,,,SACC,,,,,,Dry Prong,,WF,FI,31.158833,-89.131167,,,{85539F46-2660-4969-97CA-1C8050BA79D2},,0,,,,,,000030,wildcade,,,,Perry,MSMIC,28111,USFS,MSMNF,,USFS,Federal,,,,,,,SA22A,USFS,MSMNF,US-MS,,,,,,2024-MSMNF-000030,,No Decision,,,,2024/01/21 23:43:42+00,2024/02/04 00:07:37+00,IRWIN,0,,,{866FB373-E317-4584-85D3-D01BB4B3DB84},{856F6BBD-D1DA-452B-9F92-506CAD4897AD},0.102929487719527,-0.000259102152757345
23852,70,Friday,Wildfire Daily Fire Perimeter,Hand Sketch,564.92,2024/01/27 20:00:34+00,2024/01/27 20:00:34+00,2024/01/27 20:00:33+00,{363D40C9-903C-4442-A1D8-59052F3D0468},,564.920028118208,{DDD7BB12-1792-4390-B6AC-8E42397E5EB6},2024 NIFS,28072165,,DEFAULT,,2024/01/26 23:00:00+00,2024/01/29 21:45:00+00,wildcade,428.27,15,MSMIC,,,,,,,,,,Human,,,,,2024/01/19 22:21:25+00,,2024/02/03 23:30:00+00,,,,,,,SACC,,,,,,Friday,,WF,FI,31.12205,-89.1533,,,{363D40C9-903C-4442-A1D8-59052F3D0468},,0,1,,,,,000019,wildcade,,,,Forrest,MSMIC,28035,USFS,MSMNF,,USFS,Federal,,,,,,,SA22A,USFS,MSMNF,US-MS,,,,,,2024-MSMNF-000019,,No Decision,,,,2024/01/19 23:25:38+00,2024/02/04 00:07:06+00,IRWIN,0,,,{30512DF4-7541-4B91-9F27-FB4E5F3A1870},{47927BFB-F890-4AF6-8B31-A2B583830A0F},0.0644279510890916,-0.000216179101254581
