"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","DECADES"
21440,2020,"CA","CDF","NEU","NELSON","00013212","2020/06/18 00:00:00+00","2020/06/23 00:00:00+00",11,1,1,109.60228,2020
21441,2020,"CA","CDF","NEU","AMORUSO","00011799","2020/06/01 00:00:00+00","2020/06/04 00:00:00+00",2,1,1,685.58502,2020
21442,2020,"CA","CDF","NEU","ATHENS","00018493","2020/08/10 00:00:00+00","2020/08/11 00:00:00+00",14,1,1,27.30048,2020
21443,2020,"CA","CDF","NEU","FLEMING","00007619","2020/03/31 00:00:00+00","2020/04/01 00:00:00+00",9,1,1,12.931545,2020
21444,2020,"CA","CDF","NEU","MELANESE","00008471","2020/04/14 00:00:00+00","2020/04/19 00:00:00+00",18,1,1,10.315964,2020
21445,2020,"CA","CDF","NEU","PFE","00014858","2020/07/05 00:00:00+00","2020/07/05 00:00:00+00",14,1,1,36.701931,2020
21446,2020,"CA","DOD","BEA","VALLEY","00015865","2020/07/15 00:00:00+00","2020/07/16 00:00:00+00",14,1,1,376.9104,2020
21447,2020,"CA","CDF","NEU","WALDO","00015275","2020/07/09 00:00:00+00","2020/07/12 00:00:00+00",9,1,1,10.102212,2020
21448,2020,"CA","CDF","NEU","WILLOW","00006064","2020/03/10 00:00:00+00","2020/03/11 00:00:00+00",5,1,1,33.973888,2020
21449,2020,"CA","CDF","NEU","WILLOWS","00021423","2020/09/09 00:00:00+00","2020/10/13 00:00:00+00",7,3,1,1309.09,2020
21450,2020,"CA","CDF","NEU","DYER","00015012","2020/07/06 00:00:00+00","2020/07/06 00:00:00+00",8,1,1,194.66029,2020
21451,2020,"CA","CDF","NEU","FARRIER","00016781","2020/07/24 00:00:00+00","2020/07/31 00:00:00+00",8,1,1,22.634298,2020
21452,2020,"CA","CDF","NEU","FIELDS","00023897","2020/10/06 00:00:00+00","2020/10/09 00:00:00+00",5,1,1,55.328434,2020
21453,2020,"CA","CDF","NEU","JONES","00019231","2020/08/17 00:00:00+00","2020/09/28 00:00:00+00",1,3,1,705.54602,2020
21454,2020,"CA","DOD","BEA","PAVE PAWS","00017717","2020/08/02 00:00:00+00","2020/08/02 00:00:00+00",11,1,1,532.77332,2020
21455,2020,"CA","CDF","NEU","RIOSA","00012970","2020/06/15 00:00:00+00","2020/06/15 00:00:00+00",11,1,1,13.694717,2020
21456,2020,"CA","CDF","BTU","NELSON","00006825","2020/06/17 00:00:00+00","2020/06/25 00:00:00+00",14,1,1,103.33157,2020
21458,2020,"CA","CDF","BTU","5-4 POTTERS ","00009692","2020/08/17 00:00:00+00","2020/09/10 00:00:00+00",1,1,1,925.40186,2020
21459,2020,"CA","CDF","BTU","5-6 CASCADE CREEK","00009703","2020/08/17 00:00:00+00","2020/09/10 00:00:00+00",1,1,1,260.17557,2020
21460,2020,"CA","CDF","BTU","TEDDY","00006891","2020/06/18 00:00:00+00","2020/06/23 00:00:00+00",14,1,1,13.279565,2020
21461,2020,"CA","CDF","CZU","COAST","00003906","2020/06/29 00:00:00+00","2020/06/29 00:00:00+00",7,7,1,20.2083,2020
21462,2020,"CA","CDF","CZU","CZU LIGHTNING COMPLEX","00005205","2020/08/16 00:00:00+00","2020/09/24 00:00:00+00",1,7,1,86553.461,2020
21463,2020,"CA","CDF","MEU","OAK","00010700","2020/09/07 00:00:00+00","2020/09/28 00:00:00+00",9,7,1,1146.4658,2020
21464,2020,"CA","CDF","MEU","CREEK","00009786","2020/08/18 00:00:00+00","2020/08/26 00:00:00+00",10,7,1,834.2442,2020
21465,2020,"CA","CDF","MEU","3-19","00009781","2020/08/18 00:00:00+00","2020/10/21 00:00:00+00",1,4,1,65.008545,2020
21466,2020,"CA","CDF","MEU","VINEYARD","00006489","2020/06/09 00:00:00+00","2020/06/18 00:00:00+00",2,1,1,150.49449,2020
21467,2020,"CA","CDF","MEU","MINA","00009342","2020/08/10 00:00:00+00","2020/08/15 00:00:00+00",4,2,1,158.86919,2020
21468,2020,"CA","CDF","HUU","BEAR","00001401","2020/02/15 00:00:00+00","2020/02/15 00:00:00+00",5,1,1,10.473744,2020
21469,2020,"CA","CDF","HUU","REDWOOD","00009006","2020/10/23 00:00:00+00","2020/10/23 00:00:00+00",2,1,1,101.40028,2020
21470,2020,"CA","CDF","TGU","GRIZZLY","00002412","2020/03/02 00:00:00+00","2020/03/06 00:00:00+00",14,1,1,155.27298,2020
21471,2020,"CA","CDF","TGU","BEEGUM","00002023","2020/02/22 00:00:00+00","2020/02/23 00:00:00+00",18,2,1,181.44044,2020
21472,2020,"CA","CDF","TGU","4-8","00008808","2020/08/17 00:00:00+00","2020/08/18 00:00:00+00",1,1,1,278.00998,2020
21473,2020,"CA","CDF","TGU","ELK","00008702","2020/08/16 00:00:00+00","2020/08/17 00:00:00+00",1,1,1,730.48138,2020
21474,2020,"CA","CDF","TGU","RED","00004162","2020/04/23 00:00:00+00","2020/04/24 00:00:00+00",5,1,1,26.40666,2020
21475,2020,"CA","CDF","HUU","MINE","00011303","2020/12/24 00:00:00+00","2020/12/24 00:00:00+00",5,1,1,11.07413,2020
